���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575137730-1528,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HNTNG/PRK 03,https://www.zara.com/us/en/hntng-prk-03-pC03918316250000.html,HNTNG/PRK 03 Details,279.00 USD,White
1575137739-1532,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,OFFR/CT 03,https://www.zara.com/us/en/offr-ct-03-p06485013.html,OFFR/CT 03 Details,329.00 USD,Navy Blue
1575137681-1504,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,WORKER JACKET,https://www.zara.com/us/en/worker-jacket-p06985311.html,WORKER JACKET Details,119.00 USD,Brown
1575137668-1498,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT,https://www.zara.com/us/en/textured-weave-coat-p00706612.html,TEXTURED WEAVE COAT Details,149.00 USD,Black / White
1575137633-1483,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,LONG TOPCOAT,https://www.zara.com/us/en/long-topcoat-p01564650.html,LONG TOPCOAT Details,219.00 USD,Mink
1575137582-1460,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT WITH CONTRASTING COLLAR,https://www.zara.com/us/en/textured-weave-coat-with-contrasting-collar-p06700300.html,TEXTURED WEAVE COAT WITH CONTRASTING COLLAR Details,199.00 USD,Anthracite Gray
1575137753-1539,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED PLAID COAT,https://www.zara.com/us/en/textured-plaid-coat-p04803300.html,TEXTURED PLAID COAT Details,null,Green
1575137607-1471,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE BREASTED TEXTURED PLAID COAT,https://www.zara.com/us/en/double-breasted-textured-plaid-coat-p05884803.html,DOUBLE BREASTED TEXTURED PLAID COAT Details,249.00 USD,Taupe Brown
1575137620-1477,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE BREASTED DOUBLE SIDED THREE QUARTER LENGTH COAT,https://www.zara.com/us/en/double-breasted-double-sided-three-quarter-length-coat-p00706281.html,DOUBLE BREASTED DOUBLE SIDED THREE QUARTER LENGTH COAT Details,199.00 USD,Taupe Brown
1575137635-1484,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,STRAIGHT BUTTONED COAT,https://www.zara.com/us/en/straight-buttoned-coat-p00706280.html,STRAIGHT BUTTONED COAT Details,199.00 USD,Light Gray
1575137720-1523,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE FACED PLAID COAT,https://www.zara.com/us/en/double-faced-plaid-coat-p06096350.html,DOUBLE FACED PLAID COAT Details,169.00 USD,Gray
1575137666-1497,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,INVERTED LAPEL COAT,https://www.zara.com/us/en/inverted-lapel-coat-p09900445.html,INVERTED LAPEL COAT Details,199.00 USD,Brown
1575137759-1542,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PUFFER JACKET WITH CONTRASTING TRIM,https://www.zara.com/us/en/puffer-jacket-with-contrasting-trim-p06985310.html,PUFFER JACKET WITH CONTRASTING TRIM Details,129.00 USD,Pistachio
