���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575140688-2361,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,OVERSHIRT WITH POCKETS,https://www.zara.com/us/en/overshirt-with-pockets-p06706400.html,OVERSHIRT WITH POCKETS Details,59.90 USD,Khaki
1575140422-2239,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,DOUBLE COLLAR OXFORD SHIRT,https://www.zara.com/us/en/double-collar-oxford-shirt-p05445313.html,DOUBLE COLLAR OXFORD SHIRT Details,49.90 USD,White
1575140629-2333,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PRINTED PHOTOGRAPH SHIRT,https://www.zara.com/us/en/printed-photograph-shirt-p06917341.html,PRINTED PHOTOGRAPH SHIRT Details,39.90 USD,Red / Black
1575140800-2414,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,EASY CARE TEXTURED SHIRT,https://www.zara.com/us/en/easy-care-textured-shirt-p07545385.html,EASY CARE TEXTURED SHIRT Details,35.90 USD,White
1575140426-2241,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CONTRASTING DOUBLE COLLAR STRIPED SHIRT,https://www.zara.com/us/en/contrasting-double-collar-striped-shirt-p03894304.html,CONTRASTING DOUBLE COLLAR STRIPED SHIRT Details,39.90 USD,Navy / White
1575140484-2267,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,4 WAYS TEXTURED SHIRT,https://www.zara.com/us/en/4-ways-textured-shirt-p03894306.html,4 WAYS TEXTURED SHIRT Details,39.90 USD,White
1575140228-2153,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PLAID FLANNEL SHIRT,https://www.zara.com/us/en/plaid-flannel-shirt-p06608332.html,PLAID FLANNEL SHIRT Details,39.90 USD,Red
1575140615-2326,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,KALEIDOSCOPE PRINT SHIRT,https://www.zara.com/us/en/kaleidoscope-print-shirt-p06456386.html,KALEIDOSCOPE PRINT SHIRT Details,49.90 USD,Green
1575140406-2231,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TEXTURED WEAVE STRIPED SHIRT,https://www.zara.com/us/en/textured-weave-striped-shirt-p03057315.html,TEXTURED WEAVE STRIPED SHIRT Details,39.90 USD,Orange
1575140706-2369,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLOWY COLOR SHIRT,https://www.zara.com/us/en/flowy-color-shirt-p06048281.html,FLOWY COLOR SHIRT Details,39.90 USD,Pink
1575140312-2189,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,WASHED SHIRT,https://www.zara.com/us/en/washed-shirt-p06264308.html,WASHED SHIRT Details,39.90 USD,Khaki
1575140205-2143,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,GEOMETRIC PRINT TEXTURED SHIRT,https://www.zara.com/us/en/geometric-print-textured-shirt-p07545273.html,GEOMETRIC PRINT TEXTURED SHIRT Details,35.90 USD,White
1575140819-2423,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,NO IRON TEXTURED WEAVE SHIRT,https://www.zara.com/us/en/no-iron-textured-weave-shirt-p05445315.html,NO IRON TEXTURED WEAVE SHIRT Details,49.90 USD,Light Blue
1575140710-2371,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,OVERSHIRT WITH POCKETS,https://www.zara.com/us/en/overshirt-with-pockets-p07446355.html,OVERSHIRT WITH POCKETS Details,49.90 USD,Brick
1575140725-2378,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLORAL PRINT SHIRT,https://www.zara.com/us/en/floral-print-shirt-p00072352.html,FLORAL PRINT SHIRT Details,null,Orange
1575140429-2242,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CONTRASTING DOUBLE COLLAR SHIRT,https://www.zara.com/us/en/contrasting-double-collar-shirt-p03894303.html,CONTRASTING DOUBLE COLLAR SHIRT Details,39.90 USD,Navy Blue
1575140462-2258,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLORAL EASY CARE PRINTED TEXTURED WEAVE SHIRT,https://www.zara.com/us/en/floral-easy-care-printed-textured-weave-shirt-p08211361.html,FLORAL EASY CARE PRINTED TEXTURED WEAVE SHIRT Details,35.90 USD,White
1575140494-2270,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,LONG POPLIN SHIRT,https://www.zara.com/us/en/long-poplin-shirt-p05819472.html,LONG POPLIN SHIRT Details,49.90 USD,Black
1575140263-2168,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRIPED OXFORD SHIRT,https://www.zara.com/us/en/striped-oxford-shirt-p06608308.html,STRIPED OXFORD SHIRT Details,39.90 USD,White
1575140810-2419,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,NO IRON TEXTURED PRINT SHIRT,https://www.zara.com/us/en/no-iron-textured-print-shirt-p05445318.html,NO IRON TEXTURED PRINT SHIRT Details,49.90 USD,Light Blue
1575140473-2262,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TWO TONE TEXTURED SHIRT,https://www.zara.com/us/en/two-tone-textured-shirt-p08211360.html,TWO TONE TEXTURED SHIRT Details,35.90 USD,White
1575140916-2463,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PRINTED TWO TONE SHIRT,https://www.zara.com/us/en/printed-two-tone-shirt-p07545298.html,PRINTED TWO TONE SHIRT Details,49.90 USD,Black
1575140621-2329,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SHORT SLEEVED OXFORD SHIRT,https://www.zara.com/us/en/short-sleeved-oxford-shirt-p07545333.html,SHORT SLEEVED OXFORD SHIRT Details,35.90 USD,Navy Blue
