���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575138187-1633,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WASHED EFFECT PARKA WITH POUCH POCKET,https://www.zara.com/us/en/washed-effect-parka-with-pouch-pocket-p01792301.html,WASHED EFFECT PARKA WITH POUCH POCKET Details,89.90 USD,Khaki
1575138542-1800,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DOUBLE-SIDED CONTRASTING JACKET,https://www.zara.com/us/en/double-sided-contrasting-jacket-p03548333.html,DOUBLE-SIDED CONTRASTING JACKET Details,149.00 USD,Mid-Mink
1575138378-1722,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED CORDUROY JACKET,https://www.zara.com/us/en/hooded-corduroy-jacket-p05252391.html,HOODED CORDUROY JACKET Details,89.90 USD,Khaki
1575138575-1816,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p08281365.html,HOODED PUFFER JACKET Details,129.00 USD,Brick
1575138103-1593,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLOWY POCKET JACKET,https://www.zara.com/us/en/flowy-pocket-jacket-p06688306.html,FLOWY POCKET JACKET Details,69.90 USD,Light Khaki
1575138513-1786,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DOUBLE HOODED PUFFER JACKET,https://www.zara.com/us/en/double-hooded-puffer-jacket-p06985301.html,DOUBLE HOODED PUFFER JACKET Details,119.00 USD,Mid-Blue
1575138615-1835,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,UTILITY VEST,https://www.zara.com/us/en/utility-vest-p02553301.html,UTILITY VEST Details,69.90 USD,Camel
1575138169-1624,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLORAL PRINT JACKET,https://www.zara.com/us/en/floral-print-jacket-p03918326.html,FLORAL PRINT JACKET Details,69.90 USD,Oyster White
1575138544-1801,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,IRREGULAR TEXTURED WEAVE JACKET,https://www.zara.com/us/en/irregular-textured-weave-jacket-p06861300.html,IRREGULAR TEXTURED WEAVE JACKET Details,null,Natural
1575138135-1608,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,OXFORD BOMBER JACKET,https://www.zara.com/us/en/oxford-bomber-jacket-p00706581.html,OXFORD BOMBER JACKET Details,49.90 USD,Light Blue
