���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575163295-6696,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,MIXED FABRIC SWEATER,https://www.zara.com/us/en/mixed-fabric-sweater-p00693303.html,MIXED FABRIC SWEATER Details,59.90 USD,Black
1575163496-6783,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PLAID TEXTURED WEAVE JACQUARD SWEATER,https://www.zara.com/us/en/plaid-textured-weave-jacquard-sweater-p03597307.html,PLAID TEXTURED WEAVE JACQUARD SWEATER Details,69.90 USD,Black
1575163481-6776,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TURTLENECK SWEATER,https://www.zara.com/us/en/turtleneck-sweater-p07148301.html,TURTLENECK SWEATER Details,49.90 USD,Navy Blue
1575163276-6687,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p03597302.html,TEXTURED KNIT SWEATER Details,59.90 USD,Camel
1575163498-6784,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED TWO-TONE SWEATER,https://www.zara.com/us/en/textured-two-tone-sweater-p06771322.html,TEXTURED TWO-TONE SWEATER Details,69.90 USD,Black
1575163220-6662,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,VERTICAL TEXTURED SWEATER,https://www.zara.com/us/en/vertical-textured-sweater-p04805301.html,VERTICAL TEXTURED SWEATER Details,29.90 USD,White
1575163445-6759,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PTCH/KNT 03,https://www.zara.com/us/en/ptch-knt-03-p04566390.html,PTCH/KNT 03 Details,99.90 USD,Green
1575163422-6748,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PURL KNIT COWL NECK SWEATER,https://www.zara.com/us/en/purl-knit-cowl-neck-sweater-p03597400.html,PURL KNIT COWL NECK SWEATER Details,69.90 USD,White
1575163395-6735,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED METALLIC THREAD SWEATER,https://www.zara.com/us/en/striped-metallic-thread-sweater-p04231311.html,STRIPED METALLIC THREAD SWEATER Details,35.90 USD,Silver
1575163247-6674,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,RUSTIC KNIT POLO SHIRT,https://www.zara.com/us/en/rustic-knit-polo-shirt-p04090300.html,RUSTIC KNIT POLO SHIRT Details,39.90 USD,White
1575163209-6657,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,X-RAY PRINT SWEATER,https://www.zara.com/us/en/x-ray-print-sweater-p02654370.html,X-RAY PRINT SWEATER Details,49.90 USD,Black
1575163341-6711,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,COLORBLOCK ZIP SWEATER,https://www.zara.com/us/en/colorblock-zip-sweater-p00693318.html,COLORBLOCK ZIP SWEATER Details,59.90 USD,Anthracite Gray
1575163225-6664,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BASIC MOCK NECK SWEATER,https://www.zara.com/us/en/basic-mock-neck-sweater-p00693326.html,BASIC MOCK NECK SWEATER Details,39.90 USD,Oyster White
1575163479-6775,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BASIC WOOL BLEND SWEATER,https://www.zara.com/us/en/basic-wool-blend-sweater-p00693300.html,BASIC WOOL BLEND SWEATER Details,59.90 USD,Russet
1575163205-6655,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p06771324.html,TEXTURED KNIT SWEATER Details,39.90 USD,Oyster White
1575163439-6756,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,YAK WOOL SWEATER,https://www.zara.com/us/en/yak-wool-sweater-p00077305.html,YAK WOOL SWEATER Details,149.00 USD,Gray Marl
1575163471-6771,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,SWEATER WITH BUTTONS,https://www.zara.com/us/en/sweater-with-buttons-p04566302.html,SWEATER WITH BUTTONS Details,49.90 USD,Black
1575163512-6789,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED JACQUARD SWEATER,https://www.zara.com/us/en/striped-jacquard-sweater-p04566306.html,STRIPED JACQUARD SWEATER Details,39.90 USD,Black
1575163292-6695,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PURL KNIT SWEATER WITH SHAWL COLLAR,https://www.zara.com/us/en/purl-knit-sweater-with-shawl-collar-p00693309.html,PURL KNIT SWEATER WITH SHAWL COLLAR Details,69.90 USD,Camel
1575163270-6684,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BASIC V-NECK SWEATER,https://www.zara.com/us/en/basic-v-neck-sweater-p00693321.html,BASIC V-NECK SWEATER Details,35.90 USD,Maroon
1575163235-6669,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,FLOWY SWEATER WITH RIBBED TRIM,https://www.zara.com/us/en/flowy-sweater-with-ribbed-trim-p04090400.html,FLOWY SWEATER WITH RIBBED TRIM Details,39.90 USD,Pink
1575163458-6765,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,JACQUARD COLORBLOCK SWEATER,https://www.zara.com/us/en/jacquard-colorblock-sweater-p05755300.html,JACQUARD COLORBLOCK SWEATER Details,119.00 USD,Ecru
1575163327-6706,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ROUND NECK MERINO WOOL SWEATER,https://www.zara.com/us/en/round-neck-merino-wool-sweater-p00693310.html,ROUND NECK MERINO WOOL SWEATER Details,59.90 USD,Black
1575163280-6689,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,METALLIC THREAD SWEATER,https://www.zara.com/us/en/metallic-thread-sweater-p04231307.html,METALLIC THREAD SWEATER Details,29.90 USD,Black
1575163412-6743,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TWO-TONE JACQUARD SWEATER,https://www.zara.com/us/en/two-tone-jacquard-sweater-p06771320.html,TWO-TONE JACQUARD SWEATER Details,69.90 USD,Black
1575163450-6761,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,CM/KNT 03,https://www.zara.com/us/en/cm-knt-03-p00693002.html,CM/KNT 03 Details,119.00 USD,Khaki
1575163464-6768,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,RIPPED SWEATER,https://www.zara.com/us/en/ripped-sweater-p06771311.html,RIPPED SWEATER Details,49.90 USD,Ecru
1575163408-6741,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p05755303.html,TEXTURED KNIT SWEATER Details,69.90 USD,Black
1575163258-6679,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PIPED HEM SWEATER,https://www.zara.com/us/en/piped-hem-sweater-p04231405.html,PIPED HEM SWEATER Details,29.90 USD,Orange
1575163315-6702,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE POLO SWEATER,https://www.zara.com/us/en/textured-weave-polo-sweater-p08689304.html,TEXTURED WEAVE POLO SWEATER Details,59.90 USD,Anthracite Gray
1575163309-6701,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,POLO SWEATER WITH ZIPPER,https://www.zara.com/us/en/polo-sweater-with-zipper-p00458301.html,POLO SWEATER WITH ZIPPER Details,49.90 USD,Camel
1575163448-6760,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,OFFR/SWRT 03,https://www.zara.com/us/en/offr-swrt-03-p00693001.html,OFFR/SWRT 03 Details,119.00 USD,Natural
1575163490-6780,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE CARDIGAN BLAZER,https://www.zara.com/us/en/textured-weave-cardigan-blazer-p00693316.html,TEXTURED WEAVE CARDIGAN BLAZER Details,79.90 USD,Anthracite Gray
1575163368-6722,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PLAID JACQUARD SWEATER,https://www.zara.com/us/en/plaid-jacquard-sweater-p05802301.html,PLAID JACQUARD SWEATER Details,59.90 USD,Navy Blue
1575163379-6727,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED WOOL SWEATER,https://www.zara.com/us/en/striped-wool-sweater-p00077308.html,STRIPED WOOL SWEATER Details,79.90 USD,Turquoise
1575163229-6666,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,RIBBED MUSCLE FIT SWEATER,https://www.zara.com/us/en/ribbed-muscle-fit-sweater-p04231306.html,RIBBED MUSCLE FIT SWEATER Details,39.90 USD,White
1575163268-6683,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ZIP CARDIGAN,https://www.zara.com/us/en/zip-cardigan-p03332304.html,ZIP CARDIGAN Details,69.90 USD,Black
1575163307-6700,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p06771300.html,TEXTURED KNIT SWEATER Details,39.90 USD,Oyster White
1575163506-6786,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED JACQUARD SWEATER,https://www.zara.com/us/en/textured-jacquard-sweater-p00693329.html,TEXTURED JACQUARD SWEATER Details,69.90 USD,Black
1575163426-6750,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TURTLENECK SWEATER,https://www.zara.com/us/en/turtleneck-sweater-p00693322.html,TURTLENECK SWEATER Details,39.90 USD,Oyster White
1575163364-6720,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ARGYLE JACQUARD SWEATER,https://www.zara.com/us/en/argyle-jacquard-sweater-p03597305.html,ARGYLE JACQUARD SWEATER Details,89.90 USD,Black
1575163324-6705,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,MERINO WOOL V-NECK SWEATER,https://www.zara.com/us/en/merino-wool-v-neck-sweater-p00693311.html,MERINO WOOL V-NECK SWEATER Details,59.90 USD,Black
1575163339-6710,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ZIPPERED COLORBLOCK POLO,https://www.zara.com/us/en/zippered-colorblock-polo-p00693317.html,ZIPPERED COLORBLOCK POLO Details,59.90 USD,Navy Blue
1575163252-6676,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,SHORT SLEEVED POLO SHIRT,https://www.zara.com/us/en/short-sleeved-polo-shirt-p04432403.html,SHORT SLEEVED POLO SHIRT Details,35.90 USD,White
1575163383-6729,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PLAID JACQUARD SWEATER,https://www.zara.com/us/en/plaid-jacquard-sweater-p06674300.html,PLAID JACQUARD SWEATER Details,59.90 USD,Blue
1575163337-6709,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED SWEATER WITH BUTTONS,https://www.zara.com/us/en/striped-sweater-with-buttons-p04566300.html,STRIPED SWEATER WITH BUTTONS Details,49.90 USD,White
1575163500-6785,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,PLAID TEXTURED WEAVE JACQUARD SWEATER,https://www.zara.com/us/en/plaid-textured-weave-jacquard-sweater-p03597306.html,PLAID TEXTURED WEAVE JACQUARD SWEATER Details,59.90 USD,Black
1575163360-6718,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,FLORAL JACQUARD SWEATER,https://www.zara.com/us/en/floral-jacquard-sweater-p00693307.html,FLORAL JACQUARD SWEATER Details,169.00 USD,Black
1575163443-6758,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ROUND NECK CASHMERE SWEATER,https://www.zara.com/us/en/round-neck-cashmere-sweater-p00077300.html,ROUND NECK CASHMERE SWEATER Details,149.00 USD,Gray
1575163420-6747,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p06771318.html,TEXTURED KNIT SWEATER Details,69.90 USD,Ecru
1575163233-6668,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TIE-DYE PRINT SHIRT,https://www.zara.com/us/en/tie-dye-print-shirt-p04231302.html,TIE-DYE PRINT SHIRT Details,39.90 USD,Neon Pink
1575163207-6656,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BASIC SHORT SLEEVE SWEATER,https://www.zara.com/us/en/basic-short-sleeve-sweater-p04231360.html,BASIC SHORT SLEEVE SWEATER Details,19.90 USD,White
1575163432-6753,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,MOCK NECK SWEATER,https://www.zara.com/us/en/mock-neck-sweater-p07148303.html,MOCK NECK SWEATER Details,49.90 USD,Black
1575163473-6772,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,JACQUARD SWEATER WITH TEXT,https://www.zara.com/us/en/jacquard-sweater-with-text-p07998302.html,JACQUARD SWEATER WITH TEXT Details,49.90 USD,Black
1575163250-6675,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED POLO,https://www.zara.com/us/en/textured-polo-p06771304.html,TEXTURED POLO Details,39.90 USD,Oyster White
1575163317-6703,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE POLO SWEATER,https://www.zara.com/us/en/textured-weave-polo-sweater-p04228302.html,TEXTURED WEAVE POLO SWEATER Details,59.90 USD,Camel
1575163303-6698,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE CARDIGAN WITH POCKETS,https://www.zara.com/us/en/textured-weave-cardigan-with-pockets-p06771310.html,TEXTURED WEAVE CARDIGAN WITH POCKETS Details,49.90 USD,Black
1575163237-6670,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED POLO,https://www.zara.com/us/en/textured-polo-p04090303.html,TEXTURED POLO Details,39.90 USD,Sand
1575163343-6712,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,COLORED TEXTURED SWEATER,https://www.zara.com/us/en/colored-textured-sweater-p06771312.html,COLORED TEXTURED SWEATER Details,59.90 USD,Gray
1575163301-6697,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE CARDIGAN,https://www.zara.com/us/en/textured-weave-cardigan-p04087313.html,TEXTURED WEAVE CARDIGAN Details,49.90 USD,Gray Marl
1575163240-6671,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,KNIT POLO,https://www.zara.com/us/en/knit-polo-p06771308.html,KNIT POLO Details,39.90 USD,Oyster White
1575163362-6719,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED SWEATER,https://www.zara.com/us/en/striped-sweater-p03597304.html,STRIPED SWEATER Details,89.90 USD,Gray
1575163456-6764,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,HOUNDSTOOTH SWEATER,https://www.zara.com/us/en/houndstooth-sweater-p06771319.html,HOUNDSTOOTH SWEATER Details,79.90 USD,Maroon
1575163475-6773,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,JACQUARD SWEATER WITH TEXT,https://www.zara.com/us/en/jacquard-sweater-with-text-p06096300.html,JACQUARD SWEATER WITH TEXT Details,49.90 USD,Black
1575163227-6665,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,RIBBED MOCK NECK SWEATER,https://www.zara.com/us/en/ribbed-mock-neck-sweater-p00693325.html,RIBBED MOCK NECK SWEATER Details,39.90 USD,Oyster White
1575163405-6740,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED CABLE KNIT SWEATER WITH CONTRASTING TRIM,https://www.zara.com/us/en/textured-cable-knit-sweater-with-contrasting-trim-p06771313.html,TEXTURED CABLE KNIT SWEATER WITH CONTRASTING TRIM Details,69.90 USD,Ecru
1575163424-6749,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BASIC MOCK NECK SWEATER,https://www.zara.com/us/en/basic-mock-neck-sweater-p00693323.html,BASIC MOCK NECK SWEATER Details,39.90 USD,Black
1575163437-6755,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,SWEATER WITH VERTICAL STRIPES,https://www.zara.com/us/en/sweater-with-vertical-stripes-p05536300.html,SWEATER WITH VERTICAL STRIPES Details,null,Green
1575163354-6715,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE TURTLENECK SWEATER,https://www.zara.com/us/en/textured-weave-turtleneck-sweater-p03597303.html,TEXTURED WEAVE TURTLENECK SWEATER Details,59.90 USD,Black
1575163393-6734,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED KNIT SWEATER,https://www.zara.com/us/en/textured-knit-sweater-p03332302.html,TEXTURED KNIT SWEATER Details,39.90 USD,Brick
