���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575139143-2066,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CORD TRIM HEATHERED CHINO PANTS,https://www.zara.com/us/en/cord-trim-heathered-chino-pants-p06416450.html,CORD TRIM HEATHERED CHINO PANTS Details,59.90 USD,Anthracite Gray
1575138838-1938,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,SOFT JOGGING PANTS,https://www.zara.com/us/en/soft-jogging-pants-p05862361.html,SOFT JOGGING PANTS Details,39.90 USD,Khaki
1575139179-2081,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,LOOSE FIT CORDUROY PANTS,https://www.zara.com/us/en/loose-fit-corduroy-pants-p00060390.html,LOOSE FIT CORDUROY PANTS Details,69.90 USD,Black
1575139080-2038,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,���80S CHINO PANTS,https://www.zara.com/us/en/%E2%80%9880s-chino-pants-p06861310.html,���80S CHINO PANTS Details,49.90 USD,Oyster White
1575138850-1944,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BIKER JOGGING PANTS,https://www.zara.com/us/en/biker-jogging-pants-p02888315.html,BIKER JOGGING PANTS Details,49.90 USD,Black
1575139059-2028,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,PLAID SUIT PANTS,https://www.zara.com/us/en/plaid-suit-pants-p00706275.html,PLAID SUIT PANTS Details,69.90 USD,Brown
1575138874-1954,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,RUSTIC PLEATED PANTS,https://www.zara.com/us/en/rustic-pleated-pants-p05502300.html,RUSTIC PLEATED PANTS Details,59.90 USD,Natural
1575138817-1930,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,TEXTURED SUIT PANTS,https://www.zara.com/us/en/textured-suit-pants-p00706359.html,TEXTURED SUIT PANTS Details,69.90 USD,Gray
1575139088-2042,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,METALLIC THREAD SUIT PANTS,https://www.zara.com/us/en/metallic-thread-suit-pants-p06541122.html,METALLIC THREAD SUIT PANTS Details,69.90 USD,Black
1575139101-2048,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,PLAID KNIT SUIT PANTS,https://www.zara.com/us/en/plaid-knit-suit-pants-p00706191.html,PLAID KNIT SUIT PANTS Details,59.90 USD,Taupe Brown
1575139071-2034,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,PREMIUM STRETCH KNIT PANTS,https://www.zara.com/us/en/premium-stretch-knit-pants-p04161306.html,PREMIUM STRETCH KNIT PANTS Details,49.90 USD,Dark Brown
1575139153-2070,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,SLIM FIT MELANGE CHINO PANTS,https://www.zara.com/us/en/slim-fit-melange-chino-pants-p06861650.html,SLIM FIT MELANGE CHINO PANTS Details,49.90 USD,Tobacco
1575138848-1943,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BAGGY PANTS WITH STRAPS,https://www.zara.com/us/en/baggy-pants-with-straps-p00706680.html,BAGGY PANTS WITH STRAPS Details,69.90 USD,Black
1575138946-1980,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,4-WAY CUFFED PANTS,https://www.zara.com/us/en/4-way-cuffed-pants-p06917300.html,4-WAY CUFFED PANTS Details,59.90 USD,Black
1575138861-1949,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BIKER JOGGING PANTS,https://www.zara.com/us/en/biker-jogging-pants-p04087301.html,BIKER JOGGING PANTS Details,35.90 USD,Anthracite Gray
1575139082-2039,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,STRETCH KNIT PLAID SUIT PANTS,https://www.zara.com/us/en/stretch-knit-plaid-suit-pants-p06861338.html,STRETCH KNIT PLAID SUIT PANTS Details,49.90 USD,Taupe Brown
1575138865-1951,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,SKINNY CHINO PANTS,https://www.zara.com/us/en/skinny-chino-pants-p06786350.html,SKINNY CHINO PANTS Details,35.90 USD,Khaki
1575138877-1955,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CARGO PANTS WITH PLEATS,https://www.zara.com/us/en/cargo-pants-with-pleats-p00701301.html,CARGO PANTS WITH PLEATS Details,59.90 USD,Black
1575138752-1905,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,TAPERED FIT PANTS WITH CHAIN,https://www.zara.com/us/en/tapered-fit-pants-with-chain-p09621370.html,TAPERED FIT PANTS WITH CHAIN Details,49.90 USD,Black
1575138955-1984,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,PLEATED CARROT PANTS,https://www.zara.com/us/en/pleated-carrot-pants-p05006300.html,PLEATED CARROT PANTS Details,69.90 USD,Navy Blue
1575138921-1971,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,NEW SLIM BASIC PANTS,https://www.zara.com/us/en/new-slim-basic-pants-p06786370.html,NEW SLIM BASIC PANTS Details,35.90 USD,Blue
1575138973-1990,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CROPPED PLAID PANTS,https://www.zara.com/us/en/cropped-plaid-pants-p04432300.html,CROPPED PLAID PANTS Details,49.90 USD,Brown
1575138991-1998,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,ICE CRG/PNT 03,https://www.zara.com/us/en/ice-crg-pnt-03-pC06480023712000.html,ICE CRG/PNT 03 Details,99.90 USD,Ecru
1575139086-2041,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,STRETCH KNIT PLAID PANTS,https://www.zara.com/us/en/stretch-knit-plaid-pants-p06917301.html,STRETCH KNIT PLAID PANTS Details,49.90 USD,Gray
1575138959-1986,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BELTED CHINO PANTS,https://www.zara.com/us/en/belted-chino-pants-p06786302.html,BELTED CHINO PANTS Details,49.90 USD,Gray
1575139043-2021,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CARGO PANTS WITH BELT,https://www.zara.com/us/en/cargo-pants-with-belt-p07215302.html,CARGO PANTS WITH BELT Details,69.90 USD,Khaki
1575138912-1967,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CHECKERED JOGGING PANTS WITH WAISTBAND,https://www.zara.com/us/en/checkered-jogging-pants-with-waistband-p06861322.html,CHECKERED JOGGING PANTS WITH WAISTBAND Details,49.90 USD,Navy Blue
1575138836-1937,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BASIC JOGGING PANTS,https://www.zara.com/us/en/basic-jogging-pants-p01701325.html,BASIC JOGGING PANTS Details,35.90 USD,Anthracite Gray
1575138779-1918,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,COLORED SUIT PANTS,https://www.zara.com/us/en/colored-suit-pants-p05675677.html,COLORED SUIT PANTS Details,69.90 USD,Ocean Blue
1575138791-1924,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,TECHNICAL SUIT PANTS,https://www.zara.com/us/en/technical-suit-pants-p06503675.html,TECHNICAL SUIT PANTS Details,69.90 USD,Black
1575139037-2018,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,RELAXED FIT TECHNICAL PANTS,https://www.zara.com/us/en/relaxed-fit-technical-pants-p06315302.html,RELAXED FIT TECHNICAL PANTS Details,49.90 USD,Black
1575138756-1907,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,TEXTURED STRIPED SUIT PANTS,https://www.zara.com/us/en/textured-striped-suit-pants-p07380601.html,TEXTURED STRIPED SUIT PANTS Details,59.90 USD,Black
1575139094-2045,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,SOLID COLOR SUIT PANTS,https://www.zara.com/us/en/solid-color-suit-pants-p00706671.html,SOLID COLOR SUIT PANTS Details,69.90 USD,Green / Blue
1575138844-1941,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,BAGGY CARGO PANTS,https://www.zara.com/us/en/baggy-cargo-pants-p05372335.html,BAGGY CARGO PANTS Details,49.90 USD,Black
1575138797-1927,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,PANTS WITH SIDE STRIPE,https://www.zara.com/us/en/pants-with-side-stripe-p05660646.html,PANTS WITH SIDE STRIPE Details,69.90 USD,Camel
1575138822-1932,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,TEXTURED WEAVE SUIT PANTS,https://www.zara.com/us/en/textured-weave-suit-pants-p01564345.html,TEXTURED WEAVE SUIT PANTS Details,69.90 USD,Navy Blue
1575139041-2020,https://www.zara.com/us/en/man-trousers-l838.html?v1=1282997,CARGO PANTS,https://www.zara.com/us/en/cargo-pants-p04806315.html,CARGO PANTS Details,49.90 USD,Khaki
