���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575141595-2524,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,WOOL BLEND OVERSIZED COAT,https://www.zara.com/us/en/wool-blend-oversized-coat-p04432203.html,WOOL BLEND OVERSIZED COAT Details,169.00 USD,Sand
1575141967-2704,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,OVERSIZED BUTTON COAT,https://www.zara.com/us/en/oversized-button-coat-p02067694.html,OVERSIZED BUTTON COAT Details,169.00 USD,Gray
1575141955-2698,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,COAT WITH FAUX FUR HOOD,https://www.zara.com/us/en/coat-with-faux-fur-hood-p08073222.html,COAT WITH FAUX FUR HOOD Details,null,Gray
1575141868-2656,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,BELTED COAT,https://www.zara.com/us/en/belted-coat-p08335013.html,BELTED COAT Details,299.00 USD,Black
1575141770-2609,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,SHORT BUTTONED COAT,https://www.zara.com/us/en/short-buttoned-coat-p08677744.html,SHORT BUTTONED COAT Details,169.00 USD,Black
1575141597-2525,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p01255231.html,FAUX FUR COAT Details,129.00 USD,Dark camel
1575141895-2669,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,COAT WITH WRAP COLLAR,https://www.zara.com/us/en/coat-with-wrap-collar-p08086666.html,COAT WITH WRAP COLLAR Details,119.00 USD,Sand
1575141766-2607,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,GINGHAM COAT,https://www.zara.com/us/en/gingham-coat-p08367273.html,GINGHAM COAT Details,119.00 USD,Black / Sand
1575141721-2585,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,LONG BUTTONED TRENCH,https://www.zara.com/us/en/long-buttoned-trench-p07723642.html,LONG BUTTONED TRENCH Details,149.00 USD,Light tan
1575141659-2555,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,TRENCH COAT WITH CONTRASTING PIPING,https://www.zara.com/us/en/trench-coat-with-contrasting-piping-p03427270.html,TRENCH COAT WITH CONTRASTING PIPING Details,89.90 USD,Dark camel
1575141971-2706,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FLEECE COAT,https://www.zara.com/us/en/fleece-coat-p02969256.html,FLEECE COAT Details,129.00 USD,Ecru
1575141849-2647,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,LONG OVERSIZED COAT,https://www.zara.com/us/en/long-oversized-coat-p05507201.html,LONG OVERSIZED COAT Details,169.00 USD,Black
1575141870-2657,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FLEECE COAT,https://www.zara.com/us/en/fleece-coat-p07973244.html,FLEECE COAT Details,129.00 USD,Gray
1575141930-2686,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p02969272.html,FAUX FUR COAT Details,129.00 USD,Mink
1575141953-2697,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,OVERSIZED LAPEL COLLAR COAT,https://www.zara.com/us/en/oversized-lapel-collar-coat-p01255270.html,OVERSIZED LAPEL COLLAR COAT Details,119.00 USD,Fuchsia
1575141735-2592,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,HOUNDSTOOTH VEST,https://www.zara.com/us/en/houndstooth-vest-p08372331.html,HOUNDSTOOTH VEST Details,69.90 USD,Ecru / Black
1575141928-2685,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FLEECE COAT,https://www.zara.com/us/en/fleece-coat-p07973246.html,FLEECE COAT Details,129.00 USD,Black
1575141634-2543,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,LINEN JACKET WITH POCKETS,https://www.zara.com/us/en/linen-jacket-with-pockets-p02903242.html,LINEN JACKET WITH POCKETS Details,69.90 USD,Gray marl
1575141901-2672,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,BELTED DOUBLE-BREASTED COAT,https://www.zara.com/us/en/belted-double-breasted-coat-p02006744.html,BELTED DOUBLE-BREASTED COAT Details,219.00 USD,Black
1575141779-2613,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,DOUBLE BREASTED HERRINGBONE FROCK COAT,https://www.zara.com/us/en/double-breasted-herringbone-frock-coat-p08190132.html,DOUBLE BREASTED HERRINGBONE FROCK COAT Details,129.00 USD,Black / Ecru
