���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575144272-3248,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,TEXTURED VOLUMINOUS TOP,https://www.zara.com/us/en/textured-voluminous-top-p04661115.html,TEXTURED VOLUMINOUS TOP Details,39.90 USD,Black
1575143857-3053,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,GINGHAM TOP,https://www.zara.com/us/en/gingham-top-p03067124.html,GINGHAM TOP Details,39.90 USD,Khaki
1575145405-3777,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,VOLUMINOUS POPLIN TOP,https://www.zara.com/us/en/voluminous-poplin-top-p00881135.html,VOLUMINOUS POPLIN TOP Details,35.90 USD,Black
1575145032-3597,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,EMBROIDERED ORGANZA TOP,https://www.zara.com/us/en/embroidered-organza-top-p00264457.html,EMBROIDERED ORGANZA TOP Details,39.90 USD,Black
1575145252-3703,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,POLKA DOT ORGANZA TOP,https://www.zara.com/us/en/polka-dot-organza-top-p01198461.html,POLKA DOT ORGANZA TOP Details,39.90 USD,Dark fuchsia
1575144503-3349,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,MIXED TOP WITH TIES,https://www.zara.com/us/en/mixed-top-with-ties-p00264802.html,MIXED TOP WITH TIES Details,25.90 USD,Pink
1575144118-3175,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,RUFFLED BLOUSE WITH PLEATS,https://www.zara.com/us/en/ruffled-blouse-with-pleats-p07484178.html,RUFFLED BLOUSE WITH PLEATS Details,39.90 USD,Black
1575144288-3255,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SWISS DOT T-SHIRT,https://www.zara.com/us/en/swiss-dot-t-shirt-p05644901.html,SWISS DOT T-SHIRT Details,29.90 USD,Black
1575144342-3281,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SEMI-SHEER EMBROIDERED TOP,https://www.zara.com/us/en/semi-sheer-embroidered-top-p08779456.html,SEMI-SHEER EMBROIDERED TOP Details,69.90 USD,Oyster White
1575145156-3657,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,PLEATED BLOUSE,https://www.zara.com/us/en/pleated-blouse-p07521236.html,PLEATED BLOUSE Details,39.90 USD,beige-pink
1575144340-3280,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,RUFFLED KNIT TOP,https://www.zara.com/us/en/ruffled-knit-top-p02142118.html,RUFFLED KNIT TOP Details,29.90 USD,Khaki
1575144663-3425,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL PRINT BLOUSE,https://www.zara.com/us/en/floral-print-blouse-p01932223.html,FLORAL PRINT BLOUSE Details,39.90 USD,Multicolored
1575144932-3551,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL PRINTED TOP,https://www.zara.com/us/en/floral-printed-top-p03440250.html,FLORAL PRINTED TOP Details,49.90 USD,Black
1575144752-3467,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,CROPPED POPLIN BLOUSE,https://www.zara.com/us/en/cropped-poplin-blouse-p02838851.html,CROPPED POPLIN BLOUSE Details,49.90 USD,White
1575144136-3184,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SHIRT WITH CONTRASTING BAND,https://www.zara.com/us/en/shirt-with-contrasting-band-p01971152.html,SHIRT WITH CONTRASTING BAND Details,39.90 USD,White
1575144750-3466,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SEMI-SHEER SWISS DOT BLOUSE,https://www.zara.com/us/en/semi-sheer-swiss-dot-blouse-p07200229.html,SEMI-SHEER SWISS DOT BLOUSE Details,39.90 USD,Black
1575145312-3732,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SHIRT WITH PLEATED SLEEVES,https://www.zara.com/us/en/shirt-with-pleated-sleeves-p08185403.html,SHIRT WITH PLEATED SLEEVES Details,49.90 USD,Sky blue
1575144278-3250,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL PRINT TOP,https://www.zara.com/us/en/floral-print-top-p04786284.html,FLORAL PRINT TOP Details,49.90 USD,Red
1575144910-3542,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,GNRL/ST 03,https://www.zara.com/us/en/gnrl-st-03-p03445202.html,GNRL/ST 03 Details,99.90 USD,Black
1575145561-3852,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,RUFFLED LACE TOP,https://www.zara.com/us/en/ruffled-lace-top-p04437260.html,RUFFLED LACE TOP Details,49.90 USD,Black
1575145092-3626,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SATEEN WRAP BLOUSE,https://www.zara.com/us/en/sateen-wrap-blouse-p07969221.html,SATEEN WRAP BLOUSE Details,39.90 USD,Bluish
1575145041-3601,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,BUTTONED LINEN BLOUSE,https://www.zara.com/us/en/buttoned-linen-blouse-p04437242.html,BUTTONED LINEN BLOUSE Details,49.90 USD,Gray
1575145296-3724,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL ORGANZA TOP,https://www.zara.com/us/en/floral-organza-top-p07200102.html,FLORAL ORGANZA TOP Details,39.90 USD,Pastel pink
