���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575146197-4087,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,BUTTONED LEGGINGS,https://www.zara.com/us/en/buttoned-leggings-p09815220.html,BUTTONED LEGGINGS Details,35.90 USD,Black
1575145959-3972,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,JOGGING PANTS WITH SIDE STRIPE,https://www.zara.com/us/en/jogging-pants-with-side-stripe-p05039023.html,JOGGING PANTS WITH SIDE STRIPE Details,35.90 USD,Black
1575146477-4219,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,HOUNDSTOOTH LEGGINGS,https://www.zara.com/us/en/houndstooth-leggings-p03046284.html,HOUNDSTOOTH LEGGINGS Details,35.90 USD,Red / Black
1575146226-4101,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,CHECKERED JOGGING PANTS,https://www.zara.com/us/en/checkered-jogging-pants-p01478227.html,CHECKERED JOGGING PANTS Details,39.90 USD,Black / Ecru
1575146202-4089,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,DRAWSTRING CARGO LEGGINGS,https://www.zara.com/us/en/drawstring-cargo-leggings-p07102218.html,DRAWSTRING CARGO LEGGINGS Details,35.90 USD,Black
1575146274-4124,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,HOUNDSTOOTH KNIT PANTS,https://www.zara.com/us/en/houndstooth-knit-pants-p06873122.html,HOUNDSTOOTH KNIT PANTS Details,49.90 USD,only one
1575146162-4070,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,FLARED PANTS,https://www.zara.com/us/en/flared-pants-p08313703.html,FLARED PANTS Details,69.90 USD,Toffee
1575145865-3929,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,LEATHER PANTS,https://www.zara.com/us/en/leather-pants-p02154251.html,LEATHER PANTS Details,229.00 USD,Black
1575146658-4305,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,FAUX LEATHER LEGGINGS,https://www.zara.com/us/en/faux-leather-leggings-p05427225.html,FAUX LEATHER LEGGINGS Details,35.90 USD,Bottle green
1575146230-4103,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,PLAID CHINO FIT PANTS,https://www.zara.com/us/en/plaid-chino-fit-pants-p07149241.html,PLAID CHINO FIT PANTS Details,49.90 USD,Gray
1575146063-4022,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,CARGO PANTS,https://www.zara.com/us/en/cargo-pants-p07901220.html,CARGO PANTS Details,49.90 USD,Khaki
