daynumber,month,day,PM,HUMI,TEMP
1,1,1,22,29,-6
2,1,2,126,32,-4
3,1,3,163,45,-5
4,1,4,272,62,-7
5,1,5,171,47,1
6,1,6,160,20,-5
7,1,7,134,48,-8
8,1,8,78,67,-5
9,1,9,226,62,-6
10,1,10,247,49,-5
11,1,11,71,21,5
12,1,12,60,58,-2
13,1,13,156,62,-4
14,1,14,287,85,-6
15,1,15,302,79,-5
16,1,16,484,92,-6
17,1,17,140,38,-5
18,1,18,177,42,-2
19,1,19,89,33,-1
20,1,20,91,58,-3
21,1,21,81,58,-3
22,1,22,36,42,-2
23,1,23,300,58,-3
24,1,24,90,62,-4
25,1,25,95,92,-1
26,1,26,225,86,-3
27,1,27,30,27,-5
28,1,28,47,52,-9
29,1,29,118,39,-2
30,1,30,159,27,-4
31,1,31,90,32,-6
32,2,1,113,41,-6
33,2,2,148,42,-4
34,2,3,95,86,-1
35,2,4,18,31,0
36,2,5,4,36,0
37,2,6,55,46,-2
38,2,7,24,37,1
39,2,8,6,22,-6
40,2,9,119,37,-7
41,2,10,213,49,-5
42,2,11,52,39,-1
43,2,12,14,27,3
44,2,13,61,63,-3
45,2,14,313,58,-3
46,2,15,394,63,-2
47,2,16,195,51,2
48,2,17,17,27,5
49,2,18,109,54,-1
50,2,19,407,40,1
51,2,20,129,74,2
52,2,21,168,100,0
53,2,22,62,21,-2
54,2,23,18,42,-3
55,2,24,196,54,-1
56,2,25,215,86,1
57,2,26,26,33,-1
58,2,27,8,28,0
59,2,28,45,92,-2
60,3,1,115,86,-1
61,3,2,74,40,1
62,3,3,16,16,7
63,3,4,8,15,-1
64,3,5,95,39,-3
65,3,6,118,50,-1
66,3,7,301,59,1
67,3,8,201,64,4
68,3,9,7,11,2
69,3,10,9,17,-4
70,3,11,75,36,-1
71,3,12,77,25,4
72,3,13,146,51,3
73,3,14,70,59,2
74,3,15,162,51,2
75,3,16,153,31,10
76,3,17,313,86,6
77,3,18,31,33,8
78,3,19,113,51,4
79,3,20,120,39,7
80,3,21,54,18,11
