year,month,day,time,PM,HUMI,TEMP
2015,1,1,1,22,29,-6
2015,1,1,2,9,23,-4
2015,1,1,3,9,27,-5
2015,1,1,4,13,29,-6
2015,1,1,5,10,27,-5
2015,1,1,6,6,23,-4
2015,1,1,7,8,22,-5
2015,1,1,8,17,26,-6
2015,1,1,9,11,29,-7
2015,1,1,10,33,24,-5
2015,1,1,11,37,21,-3
2015,1,1,12,40,19,-2
2015,1,1,13,63,17,0
2015,1,1,14,62,16,1
2015,1,1,15,44,13,2
2015,1,1,16,48,13,2
2015,1,1,17,51,12,2
2015,1,1,18,82,14,1
2015,1,1,19,87,20,-1
2015,1,1,20,106,25,-2
2015,1,1,21,123,34,-6
2015,1,1,22,136,40,-8
2015,1,1,23,139,38,-6
2015,1,1,24,154,48,-8
2015,1,2,25,126,32,-4
2015,1,2,26,98,32,-5
2015,1,2,27,66,35,-5
2015,1,2,28,45,28,-2
2015,1,2,29,28,30,-3
2015,1,2,30,12,30,-3
2015,1,2,31,12,35,-5
2015,1,2,32,16,44,-7
2015,1,2,33,13,41,-6
2015,1,2,34,24,33,-1
2015,1,2,35,34,24,0
2015,1,2,36,13,21,2
2015,1,2,37,19,18,3
2015,1,2,38,26,17,5
2015,1,2,39,26,15,5
2015,1,2,40,41,15,5
2015,1,2,41,85,18,4
2015,1,2,42,108,19,3
2015,1,2,43,87,21,3
2015,1,2,44,102,22,1
2015,1,2,45,117,24,1
2015,1,2,46,125,33,-2
2015,1,2,47,145,39,-3
2015,1,2,48,157,42,-4
2015,1,3,49,163,45,-5
2015,1,3,50,176,48,-6
2015,1,3,51,193,48,-7
2015,1,3,52,198,57,-8
2015,1,3,53,214,57,-8
2015,1,3,54,222,57,-7
2015,1,3,55,209,62,-7
2015,1,3,56,201,53,-5
2015,1,3,57,179,53,-5
2015,1,3,58,169,53,-4
2015,1,3,59,147,46,-2
2015,1,3,60,158,42,-1
2015,1,3,61,170,31,1
2015,1,3,62,182,29,2
2015,1,3,63,172,27,3
2015,1,3,64,178,27,3
2015,1,3,65,193,25,3
2015,1,3,66,214,31,0
2015,1,3,67,241,42,-2
2015,1,3,68,262,49,-4
2015,1,3,69,264,58,-4
2015,1,3,70,305,53,-4
2015,1,3,71,290,62,-6
2015,1,3,72,322,62,-7
2015,1,4,73,272,62,-7
2015,1,4,74,247,62,-7
2015,1,4,75,241,57,-6
2015,1,4,76,206,57,-6
2015,1,4,77,163,49,-5
2015,1,4,78,137,57,-7
2015,1,4,79,144,61,-8
2015,1,4,80,166,53,-6
2015,1,4,81,160,49,-4
2015,1,4,82,115,42,-1
2015,1,4,83,106,33,0
2015,1,4,84,107,27,3
2015,1,4,85,112,22,6
2015,1,4,86,114,19,8
2015,1,4,87,158,20,8
2015,1,4,88,176,19,8
2015,1,4,89,195,24,6
2015,1,4,90,225,25,5
2015,1,4,91,269,30,4
2015,1,4,92,305,40,1
2015,1,4,93,360,43,1
2015,1,4,94,279,50,0
2015,1,4,95,321,47,1
2015,1,4,96,250,50,0
2015,1,5,97,171,47,1
2015,1,5,98,146,43,2
2015,1,5,99,150,50,0
2015,1,5,100,142,47,1
2015,1,5,101,148,58,-1
2015,1,5,102,186,54,0
2015,1,5,103,178,63,-1
2015,1,5,104,153,59,0
2015,1,5,105,159,50,1
2015,1,5,106,185,40,3
2015,1,5,107,181,35,5
2015,1,5,108,139,30,7
2015,1,5,109,36,26,9
2015,1,5,110,22,18,11
2015,1,5,111,14,16,10
2015,1,5,112,15,18,9
2015,1,5,113,12,16,8
2015,1,5,114,9,15,5
2015,1,5,115,25,18,4
2015,1,5,116,29,15,3
2015,1,5,117,27,16,1
2015,1,5,118,23,14,1
2015,1,5,119,15,15,0
2015,1,5,120,16,15,-1
2015,1,6,121,16,20,-5
2015,1,6,122,15,19,-4
2015,1,6,123,16,18,-2
2015,1,6,124,20,19,-4
2015,1,6,125,10,22,-5
2015,1,6,126,17,21,-3
2015,1,6,127,16,24,-6
2015,1,6,128,22,24,-6
2015,1,6,129,23,23,-3
2015,1,6,130,17,22,0
2015,1,6,131,23,17,0
2015,1,6,132,13,13,3
2015,1,6,133,17,12,4
