Radical,group,Chinese_Word,Meaning,Pinyin,Tone
水/氵     Water,1,江,big river,jiang,①
水/氵     Water,1,沉,"submerged in the water, sinking",chen,②
水/氵     Water,1,湖,big lake,hu,②
水/氵     Water,1,海,"sea, ocean",hai,③
水/氵     Water,1,溪,"brook, rivulet",xi ,①
水/氵     Water,1,汗,"sweat, perspiration",han,④
水/氵     Water,1,港,"port, harbor",gang ,③
水/氵     Water,1,污,dirty water,wu ,①
水/氵     Water,1,洗,wash,xi ,③
水/氵     Water,1,澡,"bath, bathe",zao ,③
水/氵     Water,1,汁,juice,zhi ,①
水/氵     Water,1,汤,"soup, hot water",tang,①
火/灬     Fire,2,烧,burn ,shao,①
火/灬     Fire,2,灯,"light, lamp",deng,①
火/灬     Fire,2,灶,"kitchen, oven",zao,④
火/灬     Fire,2,烤,"toast, bake, roast",kao,③
火/灬     Fire,2,炙,"roast, broil",zhi,④
火/灬     Fire,2,煮,boil,zhu,③
火/灬     Fire,2,灭,"put out the fire, exterminate",mie,④
火/灬     Fire,2,灰,"ash, grey",hui,①
火/灬     Fire,2,灾,"disaster, calamity, unluckiness",zai ,①
火/灬     Fire,2,炉,"stove, furnace",lu,②
火/灬     Fire,2,焚,burn,fen,②
火/灬     Fire,2,煤,"coal, black diamond",mei ,②
火/灬     Fire,2,烟,"smoke, smoking, cigarettes",yan ,①
火/灬     Fire,2,烫,"burn, scald, very hot",tang ,④
火/灬     Fire,2,炸,"fry, bomb, blast, explode, brust",zha ,①
火/灬     Fire,2,炒,"fry, cook",chao,③
鸟     Bird,3,鹰,"eagle, hawk",ying,①
鸟     Bird,3,鸽,"pigeon, dove",ge,①
鸟     Bird,3,鸡,"chicken, hen",ji,①
鸟     Bird,3,鸭,duck,ya,①
鸟     Bird,3,鹅,goose,e,③
牛     Cattle,4,牲,domestic animal,sheng,①
牛     Cattle,4,牺,sacrifice,xi,①
牛     Cattle,4,犊,"baby cattle, baby animal",du,②
草/艹     Plant,5,芒,mango,mang,②
草/艹     Plant,5,芛,bamboo shoot,sun,③
草/艹     Plant,5,苗,young plant,miao,②
草/艹     Plant,5,药,"medicine, herb",yao,④
草/艹     Plant,5,菇,mushroom,gu,①
草/艹     Plant,5,菌,fungus,jun,①
草/艹     Plant,5,芯,stamen,xin,①
草/艹     Plant,5,花,flower,hua,①
口     Mouth,6,叫,call,jiao,④
